fid,id,@id,amenity,capacity,fee,hgv,motorcar,parking,@geometry,capacity_i,access,bicycle,fixme,network,operator,operator_w,operator_1,website,amperage,authentica,brand,covered,manufactur,source,voltage,wikimedia_,disused_am,name,surface,socket_typ,brand_wiki,opening_ho,motorcycle,payment_ap,maxstay,parking_sp,area,capacity_c,ref_enel_c,ref_enel_s,ref,payment_co,payment_cr,socket,socket_cha,socket_c_1,socket_t_1,socket_t_2,socket_t_3,socket_t_4,branch,short_name,start_date,check_date,parking_fe,capacity_d,orientatio,addr_city,addr_postc,addr_stree,contact_we,socket_tes,socket_t_5,socket_t_6,socket_t_7,descriptio,addr_count,brand_wi_1,not_operat,charging_s,addr_subur,addr_house,addr_provi,note,office,phone_IT,authenti_1,authenti_2,level,authenti_3,indoor,socket_t_8,panoramax,socket_sca,bus,scooter,socket_t_9,authenti_4,authenti_5,addr_str_1,name_de,name_it,payment_ca,payment__1,payment_me,payment_qr,fuel_elect,motor_vehi,wheelchair,authenti_6,car,website_en,disused,socket_t10,socket_t11,power,panoramax_,socket_sch,socket_s_1,truck,payment_rf,payment_sm,panorama_1,panorama_2,socket_rop,frequency,socket_dev,socket_t12,charging_1,position,note_it,contact_ph,socket_t13,protection,mapillary,survey_dat,payment_el,charge,socket_t14,outdoor,socket_t15,socket_t16,descript_1,man_made,service,socket_t17,service_bi,natural,ref_EU_EVS,source_dat,operator_2,socket_t18,socket_t19,authenti_7,authenti_8,socket_t20,socket_t21,socket_t22,comment,image,name_en,not_brand_,payment_mo,nohousenum,operator_t,power_supp,output,video,bollard,bicycle_pa,maxstay_co,network_wi,toilets_wh,panorama_3,panorama_4,socket_d_1,socket_s_2,socket_t23,closed,unsigned_r,network_we,addr,addr_descr,colour,location,service__1,vehicle,socket_ccs,survey_d_1,socket_t24,note_en,socket_bos,socket_shi,socket_yam,email,phone,socket_c_2,socket_c_3,alt_name,noname,payment__2,capacity_m,capacity_1,payment_pa,payment_sa,socket_d_2,service__2,operator_3,charging_2,moped,socket_s_3,operator_e,owner,owner_wiki,name_es,name_fr,photo,picture,payment_ac,ele,payment_am,payment_ch,payment__3,payment__4,payment_de,payment_di,payment__5,payment_ep,payment__6,payment_gi,payment_jc,payment_ma,payment__7,payment_no,payment_te,payment_un,payment_vi,payment__8,payment__9,app_apple,app_google,payment_10,payment_11,payment_en,wikipedia,url,payment_ph,socket_b_1,socket_unk,payment,Tipo Zona,Tipo Zona String
736,node/9939570597,node/9939570597,charging_station,"2",,,yes,,,2,,,,,Gas Gas Community Charging,,,,,,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Urbano discontinuo
737,node/9942490207,node/9942490207,charging_station,"2",,,no,,,2,yes,yes,check position and capacity,,Elba Gravity Park,,,,,,,,,,,,,Stazione di ricarica e-bike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Urbano discontinuo
738,node/9948671573,node/9948671573,charging_station,"2",no,,no,,,2,yes,yes,,,,,,,,yes,,,,,,,,,,,,24/7,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4af746b9-e0c1-47b4-836e-763fdffde2a3,,,no,,,,,,,,,,,,,,,,,,,,,b3300ea9-3318-4943-82ff-1476d52d2868,"2","230",no,,,43278840-15cf-481c-9a8f-6f304da26a0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Urbano discontinuo
739,node/9951229504,node/9951229504,charging_station,"2",,,yes,,,2,,,,,,,,,,,Enel X,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Urbano discontinuo
740,node/9952823611,node/9952823611,charging_station,"2",,,,,,2,,,,,Enel X,Q5376815,,,,,Enel X,,,,,,,Enel X,,,Q5376815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Urbano discontinuo
741,node/9957310907,node/9957310907,charging_station,"1",,,yes,,,1,,,,,F Immobiliare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,Industriale/Commerciale
742,node/9957603921,node/9957603921,charging_station,"2",yes,,yes,,,2,,,,,Ingeteam,,,,,,,,,,,"File:Ingeteam, Stazione di ricarica.jpg",,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Urbano discontinuo
743,node/9960848437,node/9960848437,charging_station,"2",no,,,,,2,yes,yes,,DINAclub,Repower,Q674712,,https://www.repower.com/it/dina/,"16",yes,Repower,yes,,local knowledge,"230","File:Repower, Hotel Savoy,Grado(GO).jpg",,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Urbano discontinuo
744,node/9960902713,node/9960902713,charging_station,"1",,,,,,1,,yes,,DINAclub,Repower,Q674712,it:Repower,https://www.repower.com/it/dina/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,Urbano discontinuo
745,node/9960902714,node/9960902714,charging_station,"1",,,,,,1,,yes,,DINAclub,Repower,Q674712,it:Repower,https://www.repower.com/it/dina/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,Coltivazioni complesse
